gameid,gamename,nratings,gamerank
24508.0,Taluva,7030.0,442.0
47.0,Chinatown,7020.0,374.0
121408.0,Trains,7012.0,412.0
7717.0,Carcassonne: The Castle,6993.0,545.0
131260.0,Qwixx,6976.0,699.0
199042.0,Harry Potter: Hogwarts Battle,6938.0,275.0
7805.0,Fearsome Floors,6933.0,987.0
2952.0,Trivial Pursuit: Genus Edition,6908.0,17099.0
27225.0,Bananagrams,6894.0,1638.0
79828.0,A Few Acres of Snow,6884.0,277.0
137297.0,Rise of Augustus,6880.0,850.0
199478.0,Flamme Rouge,6861.0,213.0
125153.0,The Gallerist,6859.0,63.0
163602.0,XCOM: The Board Game,6858.0,563.0
1465.0,Wizard,6836.0,707.0
31730.0,Chicago Express,6826.0,391.0
138788.0,Dungeon Roll,6826.0,2206.0
101721.0,Mage Wars Arena,6823.0,186.0
233078.0,Twilight Imperium (Fourth Edition),6823.0,9.0
219513.0,Bärenpark,6808.0,305.0
13004.0,The Downfall of Pompeii,6794.0,481.0
146886.0,La Granja,6763.0,132.0
105134.0,Risk Legacy,6750.0,272.0
169654.0,Deep Sea Adventure,6736.0,555.0
105.0,Colossal Arena,6722.0,841.0
71.0,Civilization,6718.0,251.0
16986.0,Ubongo,6713.0,917.0
183251.0,Karuba,6703.0,409.0
206718.0,Ethnos,6698.0,226.0
22827.0,StarCraft: The Board Game,6686.0,376.0
97903.0,Terror in Meeple City,6668.0,705.0
475.0,Taj Mahal,6666.0,354.0
183840.0,Oh My Goods!,6646.0,619.0
131366.0,Eight-Minute Empire,6637.0,1069.0
46.0,Medici,6607.0,475.0
590.0,Mille Bornes,6582.0,6842.0
72287.0,Mr. Jack Pocket,6573.0,675.0
194607.0,Mystic Vale,6545.0,378.0
85256.0,Timeline: Inventions,6517.0,935.0
105551.0,Archipelago,6476.0,316.0
220.0,High Society,6455.0,674.0
55670.0,Macao,6454.0,270.0
171499.0,Cacao,6437.0,518.0
91514.0,Rhino Hero,6398.0,665.0
7854.0,YINSH,6396.0,156.0
173090.0,The Game,6396.0,931.0
54625.0,Space Hulk (third edition),6382.0,257.0
90419.0,Airlines Europe,6355.0,338.0
39938.0,Carson City,6341.0,381.0
1829.0,Risk 2210 A.D.,6316.0,1140.0
36932.0,Claustrophobia,6306.0,237.0
144344.0,Rococo,6304.0,204.0
40628.0,Finca,6296.0,570.0
1258.0,Phase 10,6261.0,17121.0
169124.0,Flick 'em Up!,6261.0,610.0
3201.0,Lord of the Rings: The Confrontation,6230.0,450.0
172308.0,Broom Service,6226.0,433.0
221194.0,Dinosaur Island,6208.0,114.0
929.0,The Great Dalmuti,6195.0,1240.0
172081.0,Burgle Bros.,6193.0,199.0
128671.0,Spartacus: A Game of Blood & Treachery,6191.0,309.0
8051.0,Attika,6168.0,635.0
24310.0,The Red Dragon Inn,6166.0,1287.0
162082.0,Deus,6165.0,331.0
1293.0,Boggle,6162.0,2097.0
148951.0,Tiny Epic Kingdoms,6152.0,1097.0
198928.0,Pandemic: Iberia,6151.0,81.0
110277.0,Among the Stars,6145.0,488.0
2083.0,Checkers,6136.0,17138.0
40793.0,Dice Town,6132.0,776.0
11971.0,Cockroach Poker,6127.0,1094.0
2389.0,Othello,6112.0,2562.0
2281.0,Pictionary,6107.0,4197.0
175117.0,Celestia,6099.0,623.0
158600.0,Hanamikoji,6087.0,233.0
175155.0,Forbidden Stars,6069.0,84.0
122298.0,Morels,6040.0,640.0
236457.0,Architects of the West Kingdom,6030.0,96.0
96913.0,Lancaster,6026.0,278.0
257.0,Kill Doctor Lucky,6024.0,2235.0
22141.0,Cleopatra and the Society of Architects,6005.0,842.0
233867.0,Welcome To...,5986.0,183.0
65781.0,London (first edition),5978.0,308.0
156336.0,Onirim (second edition),5978.0,522.0
17329.0,Animal Upon Animal,5977.0,793.0
196340.0,Yokohama,5976.0,89.0
134726.0,Smash Up: Awesome Level 9000,5969.0,426.0
192153.0,Pandemic: Reign of Cthulhu,5917.0,325.0
203420.0,Exit: The Game – The Abandoned Cabin,5908.0,180.0
2375.0,Sequence,5902.0,3188.0
55690.0,Kingdom Death: Monster,5891.0,33.0
172242.0,Exploding Kittens: NSFW Deck,5849.0,2498.0
15364.0,Vegas Showdown,5834.0,464.0
159675.0,Fields of Arle,5789.0,52.0
58281.0,Summoner Wars,5780.0,420.0
193037.0,Dead of Winter: The Long Night,5754.0,182.0
244522.0,That's Pretty Clever,5754.0,195.0
372.0,Schotten Totten,5739.0,377.0
224517.0,Brass: Birmingham,5727.0,14.0
2093.0,Mahjong,5726.0,671.0
1345.0,Genoa,5725.0,579.0
257501.0,KeyForge: Call of the Archons,5714.0,234.0
176229.0,Tides of Time,5708.0,946.0
143519.0,Quantum,5688.0,403.0
39953.0,A Game of Thrones: The Card Game,5686.0,808.0
29387.0,Zombie Fluxx,5680.0,3015.0
2719.0,Connect Four,5661.0,17137.0
177639.0,Raptor,5653.0,322.0
20437.0,Lords of Vegas,5647.0,373.0
203993.0,Lorenzo il Magnifico,5641.0,112.0
194879.0,Not Alone,5601.0,614.0
10093.0,Axis & Allies,5590.0,1172.0
44163.0,Power Grid: Factory Manager,5580.0,770.0
50750.0,Belfort,5572.0,415.0
38054.0,Snow Tails,5570.0,653.0
177524.0,ICECOOL,5547.0,796.0
526.0,Abalone,5544.0,1499.0
12995.0,Dungeon Twister,5532.0,851.0
159508.0,AquaSphere,5526.0,393.0
82222.0,Xia: Legends of a Drift System,5512.0,144.0
30539.0,Get Bit!,5471.0,2067.0
171273.0,FUSE,5467.0,585.0
83195.0,Ghost Blitz,5466.0,963.0
770.0,Loot,5463.0,1759.0
47185.0,Warhammer: Invasion,5452.0,509.0
140933.0,Blueprints,5400.0,792.0
5716.0,Balloon Cup,5395.0,1001.0
204027.0,Cottage Garden,5350.0,686.0
624.0,Quoridor,5348.0,1082.0
217372.0,The Quest for El Dorado,5336.0,258.0
49.0,Mamma Mia!,5335.0,1390.0
137269.0,Spyrium,5322.0,556.0
125678.0,DC Comics Deck-Building Game,5314.0,719.0
66356.0,Dungeons & Dragons: Wrath of Ashardalon Board Game,5297.0,607.0
42452.0,Rattus,5291.0,855.0
9446.0,Blue Moon,5281.0,984.0
191189.0,Aeon's End,5258.0,87.0
148575.0,Marvel Dice Masters: Avengers vs. X-Men,5255.0,502.0
559.0,Metro,5237.0,1589.0
3699.0,Killer Bunnies and the Quest for the Magic Carrot,5209.0,16931.0
155695.0,Age of War,5202.0,1571.0
13642.0,Louis XIV,5191.0,600.0
2392.0,Mastermind,5188.0,15721.0
18833.0,Lord of the Rings: The Confrontation,5182.0,290.0
146278.0,Tash-Kalar: Arena of Legends,5181.0,497.0
2448.0,Kalah,5176.0,3601.0
220877.0,Rajas of the Ganges,5169.0,193.0
179275.0,One Deck Dungeon,5154.0,543.0
143986.0,CV,5153.0,1022.0
33604.0,Say Anything,5138.0,914.0
200147.0,Kanagawa,5127.0,564.0
2394.0,Dominoes,5114.0,16788.0
188920.0,This War of Mine: The Board Game,5107.0,145.0
121.0,Dune,5105.0,247.0
102548.0,Dungeon Fighter,5104.0,862.0
39351.0,Automobile,5103.0,370.0
233371.0,Clank! In! Space!,5100.0,123.0
15817.0,Manila,5072.0,683.0
34585.0,Keltis,5062.0,1494.0
54138.0,Imperial 2030,5058.0,189.0
56692.0,Parade,5051.0,718.0
242.0,Junta,5048.0,1081.0
815.0,Chrononauts,5034.0,2148.0
121410.0,Steam Park,5033.0,749.0
71836.0,Onirim,5023.0,1029.0
2407.0,Sorry!,5010.0,17154.0
65532.0,Defenders of the Realm,5001.0,435.0
17223.0,World of Warcraft: The Boardgame,4989.0,1256.0
712.0,Blood Bowl (Third Edition),4967.0,297.0
91872.0,Dungeons & Dragons: The Legend of Drizzt Board Game,4952.0,521.0
244521.0,The Quacks of Quedlinburg,4952.0,245.0
103886.0,Star Wars: The Card Game,4917.0,526.0
225694.0,Decrypto,4913.0,157.0
554.0,La Città,4907.0,644.0
137408.0,Amerigo,4899.0,303.0
232043.0,Queendomino,4897.0,405.0
127024.0,Room 25,4894.0,933.0
21050.0,Combat Commander: Europe,4889.0,120.0
10640.0,Doom: The Boardgame,4883.0,910.0
124172.0,Tsuro of the Seas,4877.0,1278.0
229853.0,Teotihuacan: City of Gods,4867.0,98.0
146439.0,BattleLore (Second Edition),4863.0,174.0
195421.0,Near and Far,4863.0,119.0
155624.0,Specter Ops,4859.0,452.0
1269.0,Skip-Bo,4858.0,16968.0
66056.0,Rivals for Catan,4858.0,709.0
681.0,Quarto,4830.0,869.0
192457.0,Cry Havoc,4828.0,451.0
58421.0,Egizia,4811.0,318.0
12962.0,Reef Encounter,4801.0,560.0
714.0,Talisman,4791.0,1948.0
1.0,Die Macher,4789.0,228.0
8989.0,Hansa,4787.0,791.0
200680.0,Agricola (Revised Edition),4786.0,82.0
163068.0,Trickerion: Legends of Illusion,4777.0,153.0
904.0,Dream Factory,4776.0,633.0
239188.0,Chronicles of Crime,4760.0,127.0
162007.0,Steampunk Rally,4758.0,470.0
163.0,Balderdash,4741.0,1612.0
1897.0,Starfarers of Catan,4732.0,929.0
180593.0,The Bloody Inn,4730.0,735.0
40765.0,Clash of Cultures,4724.0,242.0
112686.0,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,4722.0,1421.0
9440.0,Maharaja: The Game of Palace Building in India,4709.0,575.0
120.0,Hoity Toity,4699.0,1340.0
4636.0,Clans,4659.0,1265.0
27364.0,Caylus Magna Carta,4655.0,751.0
1382.0,Winner's Circle,4644.0,720.0
191977.0,The Castles of Burgundy: The Card Game,4644.0,622.0
8125.0,Santiago,4623.0,595.0
221.0,Ikusa,4619.0,752.0
28.0,Illuminati (Second Edition),4614.0,1488.0
2593.0,Pass the Pigs,4613.0,17029.0
33154.0,Wasabi!,4604.0,1322.0
16395.0,Blokus Duo,4593.0,858.0
234.0,Hannibal: Rome vs. Carthage,4579.0,172.0
174660.0,New York 1901,4563.0,830.0
25071.0,Munchkin Cthulhu,4555.0,2314.0
28259.0,Cutthroat Caverns,4550.0,1299.0
