gameid,gamename,nratings,gamerank
157403,Black Fleet,4267,691
154246,La Isla,4259,807
109276,Kanban: Driver's Edition,4250,177
182631,Star Realms: Colony Wars,4248,154
30957,Tribune: Primus Inter Pares,4228,530
43528,World Without End,4220,499
35815,A Touch of Evil: The Supernatural Game,4203,835
161614,Stockpile,4201,311
224,History of the World,4196,669
553,Chez Geek,4191,6288
18100,China,4176,704
161533,Lisboa,4169,77
494,Ave Caesar,4157,1196
184921,Bunny Kingdom,4140,419
42052,Vinhos,4129,345
145659,Scoville,4117,581
925,Werewolf,4110,1361
5737,Domaine,4102,729
,,,
132,Caesar & Cleopatra,4090,1598
2338,Starship Catan,4084,899
94,Union Pacific,4080,544
,,,
,,,
121297,Fleet,4074,779
41002,Vasco da Gama,4071,501
91,Paths of Glory,4069,117
26990,Container,4062,617
2346,DVONN,4060,388
157809,Nations: The Dice Game,4058,750
1041,San Marco,4051,584
213893,Yamataï,4045,534
,,,
12902,Carcassonne: The City,4024,572
,,,
217449,NMBR 9,4016,774
,,,
421,1830: Railways & Robber Barons,3991,170
361,Hare & Tortoise,3984,1210
94362,Rune Age,3980,985
155969,Harbour,3980,1351
194880,Dream Home,3978,825
4324,Risk: The Lord of the Rings,3977,3829
195539,The Godfather: Corleone's Empire,3961,307
18258,Mission: Red Planet,3958,798
41916,The Magic Labyrinth,3958,913
140603,Francis Drake,3958,380
163166,One Night Ultimate Werewolf Daybreak,3952,424
,,,
144592,Bruxelles 1893,3949,268
,,,
25643,Arkadia,3935,829
70512,Luna,3934,441
,,,
203427,Fabled Fruit,3933,657
203417,Exit: The Game – The Secret Lab,3927,546
,,,
19100,Hacienda,3908,803
207830,5-Minute Dungeon,3907,655
142326,Eight-Minute Empire: Legends,3893,745
,,,
,,,
72321,The Networks,3886,541
34887,Revolution!,3871,1101
121288,Dixit: Journey,3866,428
240,Britannia,3859,612
163745,Star Wars: Armada,3854,210
104363,Rex: Final Days of an Empire,3852,667
25568,Metropolys,3849,702
215311,Downforce,3847,422
60,Vinci,3840,678
106217,Hawaii,3840,606
119432,Snowdonia,3833,395
227789,Heaven & Ale,3828,291
143515,Coal Baron,3825,512
104347,Santiago de Cuba,3824,844
179572,Dice City,3804,953
62227,"Labyrinth: The War on Terror, 2001 – ?",3799,323
2596,Villa Paletti,3797,1523
181810,Kodama: The Tree Spirits,3793,998
199792,Everdell,3789,179
205398,Citadels,3788,500
171669,Discoveries: The Journals of Lewis and Clark,3770,642
228341,Pulsar 2849,3764,232
15,Cosmic Encounter,3763,895
21441,Mykerinos,3760,885
103,Titan,3759,874
200077,Mint Works,3759,661
203416,Exit: The Game – The Pharaoh's Tomb,3759,480
119788,Hyperborea,3753,576
158900,Samurai Spirit,3753,1105
170,Family Business,3752,2679
878,Wyatt Earp,3743,926
,,,
206941,First Class: All Aboard the Orient Express!,3740,341
,,,
31563,Middle-Earth Quest,3735,486
24742,Cold War: CIA vs KGB,3732,1220
34127,Ticket to Ride: The Card Game,3730,2302
2136,Pachisi,3724,17151
4143,Guess Who?,3721,17139
21632,To Court the King,3717,1525
98351,Core Worlds,3714,597
,,,
1513,The Republic of Rome,3706,384
137988,Zombicide Season 2: Prison Outbreak,3705,484
88408,Nightfall,3684,1469
22038,Warrior Knights,3682,951
